Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
19010.414000128003,77.0,67.0,1655.0,45.0,37.0,,13.0,
19022.424000000003,77.0,70.0,1441.0,50.0,37.0,,13.0,
19034.433000192003,75.0,82.0,1588.0,57.0,37.0,,17.0,
19046.452000256002,75.0,45.0,1867.0,65.0,37.0,,12.0,
19058.463000064003,72.0,57.0,2254.0,77.0,37.0,,16.0,
19070.470000128,70.0,75.0,2569.0,87.0,37.0,,17.0,
19082.483000064,69.0,58.0,2785.0,85.0,36.0,,26.0,
19094.495000064002,68.0,40.0,2613.0,81.0,36.0,,11.0,
19106.508000256003,66.0,58.0,2527.0,83.0,36.0,,17.0,
19118.529000192,65.0,55.0,2669.0,86.0,36.0,,17.0,
19130.541000192003,63.0,57.0,2740.0,91.0,36.0,,17.0,
19142.553000192,63.0,70.0,2851.0,93.0,36.0,,6.0,
19154.566000128,62.0,62.0,2965.0,91.0,36.0,,18.0,
19166.576,61.0,58.0,2837.0,87.0,35.0,,19.0,
19178.587000064002,61.0,56.0,2770.0,88.0,35.0,,17.0,
19190.607000064003,60.0,51.0,2786.0,87.0,35.0,,16.0,
19202.620000256,60.0,56.0,2795.0,91.0,35.0,,15.0,
19214.637000192,60.0,48.0,2866.0,91.0,35.0,,15.0,
19226.654000128,60.0,45.0,2846.0,90.0,35.0,,16.0,
19238.665000192002,59.0,49.0,2843.0,92.0,34.0,,17.0,
19250.674000128,59.0,49.0,2931.0,95.0,34.0,,17.0,
19262.694000128,59.0,49.0,2973.0,93.0,34.0,,14.0,
19274.706000128,58.0,35.0,2964.0,91.0,33.0,,15.0,
19286.725000192,58.0,35.0,2842.0,87.0,34.0,,13.0,
19298.741000192,57.0,61.0,2744.0,91.0,33.0,,19.0,
19310.749000192,57.0,36.0,2953.0,91.0,33.0,,18.0,
19322.763000064002,57.0,39.0,2880.0,90.0,33.0,,13.0,
19334.789000192002,57.0,66.0,2788.0,93.0,33.0,,15.0,
19346.801000192,57.0,23.0,3000.0,95.0,33.0,,17.0,
19358.814000128,57.0,21.0,2979.0,88.0,33.0,,7.0,
19370.824,56.0,88.0,2945.0,105.0,33.0,,39.0,
19382.835000064002,57.0,75.0,3225.0,91.0,33.0,,8.0,
19394.845000192003,57.0,50.0,2875.0,91.0,33.0,,23.0,
19406.859000064,57.0,26.0,2851.0,85.0,33.0,,14.0,
19418.872000000003,57.0,21.0,2525.0,78.0,33.0,,13.0,
19430.888000000003,57.0,93.0,2398.0,78.0,33.0,,26.0,
19442.908000256,58.0,25.0,2678.0,90.0,33.0,,12.0,
19454.922000128,58.0,23.0,2604.0,72.0,33.0,,6.0,
19466.938000128,57.0,31.0,2196.0,66.0,33.0,,8.0,
19478.949000192002,57.0,59.0,2006.0,73.0,33.0,,18.0,
19490.972000256003,57.0,19.0,2330.0,70.0,33.0,,9.0,
19502.984,57.0,28.0,1995.0,31.0,33.0,,4.0,
19515.004000256,57.0,81.0,1077.0,23.0,34.0,,3.0,
19527.020000256,59.0,87.0,2245.0,60.0,33.0,,22.0,
19539.038000128003,60.0,39.0,2148.0,77.0,33.0,,31.0,
19551.053000192,61.0,20.0,2518.0,78.0,33.0,,14.0,
19563.073000192002,61.0,22.0,2693.0,92.0,33.0,,24.0,
19575.094000128,61.0,37.0,2697.0,88.0,33.0,,13.0,
19587.110000128003,61.0,38.0,2777.0,85.0,33.0,,13.0,
19599.123000064003,60.0,35.0,2623.0,87.0,33.0,,13.0,
19611.145000192002,60.0,19.0,2763.0,91.0,33.0,,6.0,
19623.161000192,59.0,58.0,2783.0,82.0,34.0,,6.0,
19635.171000064,59.0,18.0,2361.0,52.0,34.0,,13.0,
19647.187000064,59.0,37.0,1295.0,15.0,34.0,,4.0,
19659.197000192,60.0,67.0,1486.0,43.0,34.0,,19.0,
19671.218000128003,63.0,38.0,2074.0,56.0,33.0,,23.0,
19683.233000192,65.0,46.0,1723.0,58.0,34.0,,12.0,
19695.244000256,66.0,40.0,1978.0,67.0,34.0,,15.0,
19707.262000128,66.0,53.0,2202.0,75.0,35.0,,16.0,
19719.274000128,66.0,52.0,2348.0,73.0,35.0,,13.0,
19731.288,66.0,16.0,2277.0,66.0,35.0,,5.0,
19743.297000192,65.0,18.0,1919.0,52.0,35.0,,3.0,
19755.315000064,64.0,82.0,1936.0,78.0,35.0,,21.0,
19767.331000064,64.0,62.0,2669.0,83.0,35.0,,19.0,
19779.351000064,64.0,19.0,2733.0,82.0,35.0,,7.0,
19791.361000192002,63.0,23.0,2503.0,76.0,35.0,,11.0,
19803.380000256002,63.0,41.0,2381.0,71.0,36.0,,8.0,
19815.394000128003,63.0,33.0,2192.0,71.0,35.0,,14.0,
19827.411000064003,63.0,60.0,1818.0,45.0,36.0,,10.0,
19839.510000128,63.0,20.0,1408.0,21.0,36.0,,4.0,
19851.530000128,64.0,59.0,1694.0,50.0,36.0,,19.0,
19863.537000192002,65.0,98.0,1674.0,33.0,36.0,,2.0,
19875.547000064,65.0,65.0,1625.0,50.0,35.0,,30.0,
19887.564000256003,66.0,30.0,1679.0,23.0,36.0,,3.0,
19899.591000064,66.0,39.0,1756.0,46.0,36.0,,21.0,
19911.605000192,66.0,19.0,1803.0,28.0,36.0,,4.0,
19923.613000192003,66.0,51.0,1679.0,37.0,36.0,,15.0,
19935.623000064003,66.0,24.0,2529.0,46.0,36.0,,19.0,
19947.631000064,67.0,19.0,1836.0,41.0,36.0,,16.0,
19959.651000064,68.0,24.0,852.0,22.0,36.0,,3.0,
19971.663000064,69.0,83.0,1962.0,50.0,36.0,,21.0,
19983.684000256002,70.0,18.0,2162.0,50.0,36.0,,5.0,
19995.693000192,69.0,60.0,1433.0,32.0,36.0,,4.0,
20007.712,69.0,95.0,2747.0,60.0,36.0,,37.0,
20019.72,69.0,95.0,1992.0,57.0,36.0,,4.0,
20031.730000128002,69.0,18.0,2000.0,42.0,36.0,,5.0,
20043.744000000002,69.0,31.0,811.0,0.0,36.0,,3.0,
20055.757000192003,69.0,29.0,784.0,0.0,37.0,,2.0,
20067.764000256,71.0,58.0,784.0,6.0,37.0,,2.0,
20079.782000128,73.0,64.0,2418.0,45.0,37.0,,13.0,
20091.794000128,74.0,25.0,1961.0,25.0,37.0,,11.0,
20103.807000064,74.0,46.0,1673.0,15.0,37.0,,11.0,
20115.824,75.0,64.0,1928.0,10.0,38.0,,6.0,
