Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
140,82.0,23,1543.0,32.0,32.0,9.46,27.80,4.0
141,82.0,51,1074.0,34.0,32.0,7.24,25.90,4.0
142,83.0,27,1419.0,42.0,32.0,9.8,28.20,4.0
143,82.0,21,1380.0,39.0,32.0,3.48,20.40,4.0
144,82.0,34,1244.0,35.0,32.0,3.65,20.00,4.0
145,82.0,29,1760.0,36.0,32.0,11.36,29.00,4.0
146,82.0,29,1764.0,,32.0,7.4,26.30,4.0
147,82.0,29,1751.0,36.0,32.0,8.54,27.50,4.0
148,82.0,36,1183.0,34.0,32.0,3.5,18.80,4.0
149,83.0,35,1139.0,35.0,32.0,6.79,25.10,4.0
150,83.0,35,1174.0,36.0,32.0,6.97,25.50,4.0
151,82.0,35,1238.0,37.0,32.0,7.31,25.90,4.0
152,82.0,33,797.0,0.0,34.0,4.11,20.40,4.0
153,83.0,32,807.0,0.0,34.0,4.21,20.40,4.0
154,83.0,56,781.0,11.0,33.0,6.29,26.70,4.0
155,83.0,57,1330.0,19.0,32.0,3.22,23.10,4.0
156,82.0,55,1867.0,27.0,31.0,19.96,32.50,4.0
157,82.0,47,1391.0,32.0,31.0,12.29,30.20,4.0
158,82.0,43,1609.0,35.0,31.0,12.65,30.20,4.0
159,82.0,45,1729.0,,31.0,13.44,30.60,4.0
160,82.0,50,1649.0,34.0,31.0,13.38,30.60,4.0
161,83.0,54,1537.0,31.0,31.0,14.03,31.00,4.0
162,83.0,51,1513.0,,31.0,14.14,31.00,4.0
163,83.0,49,1563.0,31.0,31.0,14.13,31.00,4.0
164,83.0,45,1632.0,33.0,31.0,13.41,30.60,4.0
165,83.0,46,1604.0,32.0,31.0,12.71,30.60,4.0
166,83.0,43,1611.0,33.0,31.0,12.83,30.20,4.0
167,83.0,24,1650.0,35.0,31.0,12.31,30.20,4.0
168,83.0,41,1031.0,33.0,31.0,2.77,19.20,4.0
169,83.0,28,1099.0,33.0,31.0,7.67,26.30,4.0
170,83.0,21,1068.0,30.0,32.0,3.1,18.80,4.0
171,83.0,20,803.0,22.0,33.0,4.02,19.60,4.0
172,83.0,34,847.0,12.0,33.0,3.3,19.20,4.0
173,83.0,32,777.0,4.0,33.0,4.14,20.80,4.0
174,83.0,33,782.0,,33.0,3.86,20.40,4.0
175,83.0,32,798.0,0.0,33.0,4.15,20.40,4.0
176,83.0,26,1237.0,24.0,32.0,3.5,19.20,4.0
177,83.0,33,789.0,13.0,33.0,4.08,20.40,4.0
178,83.0,41,1067.0,,32.0,6.47,25.90,4.0
179,83.0,55,1640.0,18.0,32.0,8.84,22.70,4.0
180,83.0,51,1109.0,26.0,31.0,10.38,29.00,4.0
181,83.0,32,1346.0,30.0,31.0,11.72,29.80,4.0
182,83.0,32,1496.0,,31.0,8.36,26.70,4.0
183,83.0,33,1501.0,30.0,31.0,8.27,26.70,4.0
184,83.0,33,1539.0,31.0,31.0,9.01,27.50,4.0
